id,name,items,prices,image_url,category
52,熱巧克力,[76],33,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/3020.png?,
53,柳橙酷蘇打,[53],48,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/3147.png?,
54,小杯玉米湯,[76],33,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/1417.png?,
55,高鈣鮮乳,[55],28,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/3508.png?,
56,熱那堤(中) - L2,[56],65,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/3068.png?,
57,熱亞美利加諾(中) - L2,[57],55,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/3066.png?,
58,熱那堤(中),[58],75,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/33840.png?,
59,熱亞美利加諾,[59],65,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/33808.png?,
60,熱焦糖瑪琪朵(中),[60],85,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/33844.png?,
61,冰亞美利加諾,[61],65,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/34805.png?,
62,冰焦糖瑪琪朵(中),[62],85,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/34842.png?,
63,熱香草那堤(中),[63],85,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/33854.png?,
64,熱榛果那堤(中),[64],85,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/33856.png?,
65,熱抹茶那堤(中),[65],85,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/33822.png?,
66,冰香草那堤(中),[66],85,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/34848.png?,
67,冰榛果那堤(中),[67],85,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/34850.png?,
68,冰抹茶那堤(中),[68],85,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/34815.png?,
69,熱阿薩姆那堤(中),[69],85,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/33824.png?,
70,熱巧克力(中),[70],75,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/33845.png?,
71,熱特濃白咖啡(中),[71],75,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/33842.png?,
72,冰阿薩姆那堤(中),[72],85,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/34819.png?,
73,冰巧克力(中),[73],75,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/34843.png?,
